combo_index,chunk_id,combo_id,encoder_profile,encoder_level,dims,num_blocks,num_heads,total_params,encoder_params,decoder_params,encoder_decoder_params,koopman_params,koopman_share,koopman_to_encdec
0,9,alpha_e1_d016,E1_baseline,1,16,"[4, 6, 6, 8]","[1, 2, 4, 8]",4272728,2087164,1923420,4010584,262144,0.06135284062079308,0.06536304937136338
1,8,alpha_e1_d032,E1_baseline,1,32,"[4, 6, 6, 8]","[1, 2, 4, 8]",16727216,8085720,7592920,15678640,1048576,0.06268682128574175,0.06687927014077752
2,5,alpha_e1_d048,E1_baseline,1,48,"[4, 6, 6, 8]","[1, 2, 4, 8]",37371528,18004412,17007820,35012232,2359296,0.06313084121152339,0.06738490708047405
3,2,alpha_e1_d064,E1_baseline,1,64,"[4, 6, 6, 8]","[1, 2, 4, 8]",66192224,31828696,30169224,61997920,4194304,0.06336550951966805,0.06765233414282286
4,9,alpha_e2_d016,E2_deeper,2,16,"[6, 8, 8, 10]","[1, 2, 4, 8]",4977692,2645838,2069710,4715548,262144,0.052663764652373025,0.055591418006984555
5,7,alpha_e2_d032,E2_deeper,2,32,"[6, 8, 8, 10]","[1, 2, 4, 8]",19436500,10244930,8142994,18387924,1048576,0.05394880765569933,0.05702525200778511
6,4,alpha_e2_d048,E2_deeper,2,48,"[6, 8, 8, 10]","[1, 2, 4, 8]",43386152,22808030,18218826,41026856,2359296,0.054379010150519914,0.05750613695575406
7,1,alpha_e2_d064,E2_deeper,2,64,"[6, 8, 8, 10]","[1, 2, 4, 8]",76810400,40317234,32298862,72616096,4194304,0.05460593877912366,0.05775997652090798
8,9,alpha_e3_d016,E3_deepest,3,16,"[8, 10, 10, 12]","[1, 2, 4, 8]",5682656,3204512,2216000,5420512,262144,0.04613054177483205,0.04836148319568336
9,6,alpha_e3_d032,E3_deepest,3,32,"[8, 10, 10, 12]","[1, 2, 4, 8]",22145784,12404140,8693068,21097208,1048576,0.04734878656813414,0.04970212172150931
10,3,alpha_e3_d048,E3_deepest,3,48,"[8, 10, 10, 12]","[1, 2, 4, 8]",49400776,27611648,19429832,47041480,2359296,0.0477582781290723,0.050153524081300166
11,0,alpha_e3_d064,E3_deepest,3,64,"[8, 10, 10, 12]","[1, 2, 4, 8]",87428576,48805772,34428500,83234272,4194304,0.04797406285102939,0.05039155024987784
