gamma_combo_index,gamma_chunk_id,gamma_combo_id,is_default,lambda_fwd,lambda_bwd,lambda_recon,lambda_latent_fwd,lambda_ortho_a
0,0,gamma_default,True,1.0,1.0,1.0,1.0,0.1
1,1,gamma_01_b1_r1em1_l1_o1em1,False,1.0,1.0,0.10000000149011612,1.0,0.10000000149011612
2,2,gamma_02_b1em3_r1em3_l1em2_o1em2,False,1.0,0.0010000000474974513,0.0010000000474974513,0.009999999776482582,0.009999999776482582
3,3,gamma_03_b1_r1em2_l1em2_o1em1,False,1.0,1.0,0.009999999776482582,0.009999999776482582,0.10000000149011612
4,4,gamma_04_b1em1_r1em1_l1em1_o1,False,1.0,0.10000000149011612,0.10000000149011612,0.10000000149011612,1.0
5,0,gamma_05_b1em1_r1em1_l1_o1em2,False,1.0,0.10000000149011612,0.10000000149011612,1.0,0.009999999776482582
6,1,gamma_06_b1em3_r1em2_l1_o1em1,False,1.0,0.0010000000474974513,0.009999999776482582,1.0,0.10000000149011612
7,2,gamma_07_b1em1_r0_l1em1_o1em2,False,1.0,0.10000000149011612,0.0,0.10000000149011612,0.009999999776482582
8,3,gamma_08_b1em1_r1em3_l1em2_o1em1,False,1.0,0.10000000149011612,0.0010000000474974513,0.009999999776482582,0.10000000149011612
9,4,gamma_09_b0_r1em3_l0_o1em2,False,1.0,0.0,0.0010000000474974513,0.0,0.009999999776482582
10,0,gamma_10_b1_r1em1_l1em3_o0,False,1.0,1.0,0.10000000149011612,0.0010000000474974513,0.0
11,1,gamma_11_b1em1_r1em1_l1em2_o1em3,False,1.0,0.10000000149011612,0.10000000149011612,0.009999999776482582,0.0010000000474974513
12,2,gamma_12_b1em2_r1em1_l1em2_o0,False,1.0,0.009999999776482582,0.10000000149011612,0.009999999776482582,0.0
13,3,gamma_13_b1_r1em3_l1_o1em2,False,1.0,1.0,0.0010000000474974513,1.0,0.009999999776482582
14,4,gamma_14_b1em3_r1em1_l1_o1em1,False,1.0,0.0010000000474974513,0.10000000149011612,1.0,0.10000000149011612
15,0,gamma_15_b1_r0_l1em1_o1,False,1.0,1.0,0.0,0.10000000149011612,1.0
16,1,gamma_16_b1em1_r1_l1em3_o0,False,1.0,0.10000000149011612,1.0,0.0010000000474974513,0.0
17,2,gamma_17_b1_r1em3_l1_o1em3,False,1.0,1.0,0.0010000000474974513,1.0,0.0010000000474974513
18,3,gamma_18_b1em3_r1em2_l1em2_o1em2,False,1.0,0.0010000000474974513,0.009999999776482582,0.009999999776482582,0.009999999776482582
19,4,gamma_19_b1em2_r1em2_l0_o1,False,1.0,0.009999999776482582,0.009999999776482582,0.0,1.0
20,0,gamma_20_b1_r1em2_l1em1_o1em3,False,1.0,1.0,0.009999999776482582,0.10000000149011612,0.0010000000474974513
21,1,gamma_21_b1_r1em3_l1em3_o1em2,False,1.0,1.0,0.0010000000474974513,0.0010000000474974513,0.009999999776482582
22,2,gamma_22_b1em1_r1em3_l0_o1em3,False,1.0,0.10000000149011612,0.0010000000474974513,0.0,0.0010000000474974513
23,3,gamma_23_b1em2_r1em3_l1em2_o1em3,False,1.0,0.009999999776482582,0.0010000000474974513,0.009999999776482582,0.0010000000474974513
24,4,gamma_24_b1_r0_l0_o1em3,False,1.0,1.0,0.0,0.0,0.0010000000474974513
